"The arctic narwhal,","He's got a scratch on his butt,","But that tusk don't reach..."
"Penguins are on strike,","So no more haikus for them,","Narwhal verse instead..."
"The trees are rustling,","Sounds of keyboard keys clacking,","Squirrels programming..."
"Dewy morning grass,","Undisturbed silent morning,","A squirrel belches"
"The squirrels prepare,","The end of spring means time to,","Seed their database"
"Rome, white smoke rises,","All catholics pledge their trust","In the penguin pope"
"Not with budding leaves,","Spring is greeted with the sound of","Nutty squirrel toots"
"Peaceful valley wood,","Warm, silent breeze, carries sound","Of soft squirrel farts"
"A cold silent pond,","Platypus makes a soft splash,","Silent pond again"
"Ten inches of snow,","Web footed platypus will","Just sit this day out"
